family,file,machine,arch,dotnet,upx,n_exec,max_entropy,tag
everyday,CPUID CPU-Z_2.21_Machine_X64_inno_en-US.exe,0x14c,x86,0,0,2,6.38,plain
everyday,CPUSTRES64.EXE,0x8664,x64,0,0,1,6.38,plain
everyday,Cacheset.exe,0x14c,x86,0,0,1,6.61,plain
everyday,CoinMP.dll,0x8664,x64,0,0,1,6.43,plain
everyday,ConEmu.exe,0x14c,x86,0,0,1,6.63,plain
everyday,ConEmuC.exe,0x14c,x86,0,0,1,6.64,plain
everyday,ConEmuCD64.dll,0x8664,x64,0,0,1,6.46,plain
everyday,ConEmuHk.dll,0x14c,x86,0,0,1,6.69,plain
everyday,ConEmuHk64.dll,0x8664,x64,0,0,1,6.46,plain
everyday,Controls.dll,0x8664,x64,0,0,1,6.32,plain
everyday,CrystalDiskInfo_9.9.2_Machine_X64_inno_en-US.exe,0x14c,x86,0,0,2,6.36,plain
everyday,Desktops.exe,0x14c,x86,0,0,1,6.65,plain
everyday,Deutsch.dll,0x14c,x86,0,0,1,3.91,plain
everyday,DiskView64.exe,0x8664,x64,0,0,1,6.47,plain
everyday,Diskmon64.exe,0x8664,x64,0,0,1,6.49,plain
everyday,Effects.dll,0x14c,x86,0,0,1,6.68,plain
everyday,Effects_7fa6bd73.dll,0x8664,x64,0,0,1,6.55,plain
everyday,EnVar.dll,0x14c,x86,0,0,1,5.81,plain
everyday,EnvDTE.dll,0x14c,x86,1,0,1,5.14,dotnet
everyday,ExCSS.dll,0x14c,x86,1,0,1,6.15,dotnet
everyday,FindProcDLL.dll,0x14c,x86,0,0,1,6.01,plain
everyday,GIMP_3.2.4.0_User_X64_inno_en-US.exe,0x14c,x86,0,0,2,6.39,plain
everyday,GUP.exe,0x8664,x64,0,0,1,6.41,plain
everyday,Git.hub.dll,0x14c,x86,1,0,1,5.83,dotnet
everyday,GitCommands.dll,0x14c,x86,1,0,1,6.58,dotnet
everyday,GitExtSshAskPass.exe,0x14c,x86,0,0,1,6.11,plain
everyday,GitExtUtils.dll,0x14c,x86,1,0,1,6.81,dotnet
everyday,GitExtensions.PluginManager.dll,0x14c,x86,1,0,1,5.87,dotnet
everyday,GitExtensions.Plugins.AppVeyorIntegration.dll,0x14c,x86,1,0,1,6.77,dotnet
everyday,GitExtensions.Plugins.AutoCompileSubmodules.dll,0x14c,x86,1,0,1,7.26,dotnet
everyday,GitExtensions.Plugins.AzureDevOpsIntegration.dll,0x14c,x86,1,0,1,6.88,dotnet
everyday,GitExtensions.Plugins.BackgroundFetch.dll,0x14c,x86,1,0,1,7.15,dotnet
everyday,GitExtensions.Plugins.CreateLocalBranches.dll,0x14c,x86,1,0,1,7.31,dotnet
everyday,GitExtensions.Plugins.FindLargeFiles.dll,0x14c,x86,1,0,1,6.82,dotnet
everyday,GitExtensions.Plugins.GitHub3.dll,0x14c,x86,1,0,1,6.83,dotnet
everyday,GitExtensions.Plugins.GitHubActionsIntegration.dll,0x14c,x86,1,0,1,6.80,dotnet
everyday,GitExtensions.Plugins.GitStatistics.dll,0x14c,x86,1,0,1,6.66,dotnet
everyday,GitExtensions.Plugins.GitlabIntegration.dll,0x14c,x86,1,0,1,7.01,dotnet
everyday,GitExtensions.Plugins.Gource.dll,0x14c,x86,1,0,1,6.82,dotnet
everyday,GitExtensions.Plugins.ProxySwitcher.dll,0x14c,x86,1,0,1,7.14,dotnet
everyday,GitExtensions.Plugins.ReleaseNotesGenerator.dll,0x14c,x86,1,0,1,6.91,dotnet
everyday,GitExtensions.dll,0x14c,x86,1,0,1,7.12,dotnet
everyday,GitExtensions.exe,0x8664,x64,0,0,1,6.37,plain
everyday,GitExtensionsShellEx32.dll,0x14c,x86,0,0,1,6.72,plain
everyday,GitExtensionsShellEx64.dll,0x8664,x64,0,0,1,6.56,plain
everyday,GitUI.dll,0x14c,x86,1,0,1,6.65,dotnet
everyday,Godot_v3.6.3-stable_win64.exe,0x8664,x64,0,0,1,6.20,plain
everyday,Greenshot_1.3.315_User_X86_inno_en-US.exe,0x14c,x86,0,0,2,6.36,plain
everyday,ICSharpCode.TextEditor.dll,0x14c,x86,1,0,1,4.96,dotnet
everyday,INetC.dll,0x14c,x86,0,0,1,6.11,plain
everyday,Icons.dll,0x14c,x86,0,0,1,6.62,plain
everyday,InstallOptions.dll,0x14c,x86,0,0,1,6.29,plain
everyday,Installer.exe,0x14c,x86,0,0,1,6.62,plain
everyday,IrfanView_4.75_Machine_X64_exe_en-US.exe,0x8664,x64,0,0,1,6.37,plain
everyday,Jpg_transform.dll,0x8664,x64,0,0,1,6.53,plain
everyday,LangDLL.dll,0x14c,x86,0,0,1,5.95,plain
everyday,LangDLL_4cf25411.dll,0x14c,x86,0,0,1,5.95,plain
everyday,LanguageToollo.dll,0x8664,x64,0,0,1,6.32,plain
everyday,Listdlls.exe,0x14c,x86,0,0,1,6.64,plain
everyday,Listdlls64.exe,0x8664,x64,0,0,1,6.49,plain
everyday,LoadOrd64.exe,0x8664,x64,0,0,1,6.48,plain
everyday,Metadata.dll,0x8664,x64,0,0,1,6.46,plain
everyday,Microsoft .NET Runtime 10.0_10.0.11_Machine_X64_burn_en-US.exe,0x14c,x86,0,0,1,6.47,plain
everyday,Microsoft .NET Windows Desktop Runtime 9.0_9.0.19_Machine_X64_burn_en-US.exe,0x14c,x86,0,0,1,6.57,plain
everyday,Microsoft Visual C++ v14 Redistributable (x64)_14.51.36247.0_Machine_X64_burn_en-US.exe,0x14c,x86,0,0,1,6.58,plain
everyday,Microsoft.AI.DependencyCollector.dll,0x14c,x86,1,0,1,5.85,dotnet
everyday,Microsoft.VisualStudio.Composition.dll,0x14c,x86,1,0,1,6.24,dotnet
everyday,Microsoft.VisualStudio.Threading.dll,0x14c,x86,1,0,1,6.25,dotnet
everyday,Microsoft.VisualStudio.Validation.dll,0x14c,x86,1,0,1,5.85,dotnet
everyday,Microsoft.WindowsAPICodePack.dll,0x14c,x86,1,0,1,6.00,dotnet
everyday,NppConverter.dll,0x8664,x64,0,0,1,6.51,plain
everyday,NppExport.dll,0x8664,x64,0,0,1,6.51,plain
everyday,NppShell.dll,0x8664,x64,0,0,1,6.45,plain
everyday,OBSInstallerUtils.dll,0x14c,x86,0,0,1,5.82,plain
everyday,Obsidian-1.13.7.exe,0x14c,x86,0,0,1,6.52,plain
everyday,PackageManager.UI.exe,0x8664,x64,0,0,1,6.37,plain
everyday,Paint.dll,0x8664,x64,0,0,1,6.45,plain
everyday,PowerToysUserSetup-0.101.2362.0-x64.exe,0x8664,x64,0,0,1,6.40,plain
everyday,PsExec64.exe,0x8664,x64,0,0,1,6.52,plain
everyday,PsGetsid.exe,0x14c,x86,0,0,1,6.66,plain
everyday,PsGetsid64.exe,0x8664,x64,0,0,1,6.54,plain
everyday,PsHost.dll,0x8664,x64,0,0,1,6.47,plain
everyday,PsInfo.exe,0x14c,x86,0,0,1,6.65,plain
everyday,PsLoggedon.exe,0x14c,x86,0,0,1,6.60,plain
everyday,PsService64.exe,0x8664,x64,0,0,1,6.53,plain
everyday,Python 3.13_3.13.15_User_X64_burn_en-US.exe,0x14c,x86,0,0,1,6.58,plain
everyday,Qt5Concurrent.dll,0x8664,x64,0,0,1,6.15,plain
everyday,Qt5Core.dll,0x8664,x64,0,0,1,6.42,plain
everyday,Qt5Gui.dll,0x8664,x64,0,0,1,6.43,plain
everyday,Qt5PrintSupport.dll,0x8664,x64,0,0,1,6.15,plain
everyday,Qt5QuickShapes.dll,0x8664,x64,0,0,1,6.19,plain
everyday,Qt5Svg.dll,0x8664,x64,0,0,1,6.25,plain
everyday,Qt6Concurrent.dll,0x8664,x64,0,0,1,6.27,plain
everyday,Qt6Gui.dll,0x8664,x64,0,0,1,6.50,plain
everyday,Qt6LabsWavefrontMesh.dll,0x8664,x64,0,0,1,6.29,plain
everyday,Qt6Network.dll,0x8664,x64,0,0,1,6.29,plain
everyday,Qt6QmlWorkerScript.dll,0x8664,x64,0,0,1,6.13,plain
everyday,Qt6QuickControls2Basic.dll,0x8664,x64,0,0,1,6.08,plain
everyday,Qt6QuickDialogs2.dll,0x8664,x64,0,0,1,6.09,plain
everyday,Qt6QuickDialogs2Utils.dll,0x8664,x64,0,0,1,6.16,plain
everyday,Qt6QuickWidgets.dll,0x8664,x64,0,0,1,5.97,plain
everyday,Qt6Svg.dll,0x8664,x64,0,0,1,6.30,plain
everyday,Qt6Svg_dd1aaf87.dll,0x8664,x64,0,0,1,6.29,plain
everyday,Qt6UiTools.dll,0x8664,x64,0,0,1,6.21,plain
everyday,Qt6WebSockets.dll,0x8664,x64,0,0,1,6.13,plain
everyday,Qt6Widgets.dll,0x8664,x64,0,0,1,6.35,plain
everyday,Qt6Xml.dll,0x8664,x64,0,0,1,6.07,plain
everyday,Qt6Xml_321e306c.dll,0x8664,x64,0,0,1,6.09,plain
everyday,R for Windows_4.6.1_Machine_X64_inno_en-US.exe,0x14c,x86,0,0,2,6.36,plain
everyday,RAMMap64.exe,0x8664,x64,0,0,1,6.47,plain
everyday,RDCMan.exe,0x8664,x64,0,0,2,6.46,plain
everyday,RegDelNull.exe,0x14c,x86,0,0,1,6.62,plain
everyday,RegionCapture.dll,0x8664,x64,0,0,1,6.37,plain
everyday,ResourceManager.dll,0x14c,x86,1,0,1,5.96,dotnet
everyday,ShareX-19.0.2-setup.exe,0x14c,x86,0,0,2,6.39,plain
everyday,Signal_8.25.0_User_X64_nullsoft_en-US.exe,0x14c,x86,0,0,1,6.52,plain
everyday,Slack_4.51.191_User_X64_exe_en-US.exe,0x14c,x86,0,0,1,6.67,plain
everyday,Slideshow.exe,0x8664,x64,0,0,1,6.59,plain
everyday,SmartFormat.dll,0x14c,x86,1,0,1,6.14,dotnet
everyday,SpellChecker.dll,0x14c,x86,1,0,1,5.98,dotnet
everyday,SpiderBanner.dll,0x14c,x86,0,0,1,5.91,plain
everyday,SpotifySetup.exe,0x8664,x64,0,0,1,6.45,plain
everyday,StartMenu.dll,0x14c,x86,0,0,1,5.80,plain
everyday,StdUtils.dll,0x14c,x86,0,0,1,6.56,plain
everyday,StdUtils_28021209.dll,0x14c,x86,0,0,1,6.78,plain
everyday,StdUtils_b72e9013.dll,0x14c,x86,0,0,1,6.78,plain
everyday,Steam.exe,0x14c,x86,0,0,1,6.78,plain
everyday,SteamService.exe,0x14c,x86,0,0,1,6.87,plain
everyday,SteamSetup.exe,0x14c,x86,0,0,1,6.47,plain
everyday,Stellarium_26.2_User_X64_inno_en-US.exe,0x14c,x86,0,0,2,6.36,plain
everyday,Stub_Plugin.exe,0x14c,x86,0,0,1,6.70,plain
everyday,Sublime Text 4_4.0.0.420000_Machine_X64_inno_en-US.exe,0x14c,x86,0,0,2,6.40,plain
everyday,SumatraPDF_3.6.1_User_X64_exe_en-US.exe,0x8664,x64,0,0,1,6.50,plain
everyday,System.ComponentModel.Composition.dll,0x14c,x86,1,0,1,6.07,dotnet
everyday,System.Composition.Convention.dll,0x14c,x86,1,0,1,5.89,dotnet
everyday,System.Composition.Hosting.dll,0x14c,x86,1,0,1,5.89,dotnet
everyday,System.Composition.TypedParts.dll,0x14c,x86,1,0,1,6.04,dotnet
everyday,System.Reactive.Interfaces.dll,0x14c,x86,1,0,1,7.50,dotnet
everyday,System.Reactive.Linq.dll,0x14c,x86,1,0,1,7.38,dotnet
everyday,System.Reactive.dll,0x14c,x86,1,0,1,6.14,dotnet
everyday,System.dll,0x14c,x86,0,0,1,6.46,plain
everyday,System_3eb38ae9.dll,0x14c,x86,0,0,1,6.46,plain
everyday,System_8134e46b.dll,0x14c,x86,0,0,1,6.46,plain
everyday,System_8b4c47c4.dll,0x14c,x86,0,0,1,6.46,plain
everyday,System_fa367ae3.dll,0x14c,x86,0,0,1,6.46,plain
everyday,TKBO.dll,0x8664,x64,0,0,1,6.29,plain
everyday,TKBinXCAF.dll,0x8664,x64,0,0,1,6.03,plain
everyday,TKDECascade.dll,0x8664,x64,0,0,1,6.09,plain
everyday,TKDESTL.dll,0x8664,x64,0,0,1,6.20,plain
everyday,TKDESTL_9e028a87.dll,0x8664,x64,0,0,1,6.17,plain
everyday,TKExpress.dll,0x8664,x64,0,0,1,6.08,plain
everyday,TKG2d.dll,0x8664,x64,0,0,1,6.24,plain
everyday,TKGeomBase.dll,0x8664,x64,0,0,1,6.34,plain
everyday,TKHLR.dll,0x8664,x64,0,0,1,6.30,plain
everyday,TKMath.dll,0x8664,x64,0,0,1,6.39,plain
everyday,TKOffset.dll,0x8664,x64,0,0,1,6.16,plain
everyday,TKRWMesh.dll,0x8664,x64,0,0,1,6.09,plain
everyday,TKStdL.dll,0x8664,x64,0,0,1,6.04,plain
everyday,TKTObj.dll,0x8664,x64,0,0,1,6.09,plain
everyday,TKTObj_ffdf8d24.dll,0x8664,x64,0,0,1,6.10,plain
everyday,TKTopAlgo.dll,0x8664,x64,0,0,1,6.31,plain
everyday,TKTopAlgo_939e9649.dll,0x8664,x64,0,0,1,6.31,plain
everyday,TKV3d.dll,0x8664,x64,0,0,1,6.35,plain
everyday,TKXCAF.dll,0x8664,x64,0,0,1,6.23,plain
everyday,TKXmlXCAF.dll,0x8664,x64,0,0,1,6.06,plain
everyday,TKernel.dll,0x8664,x64,0,0,1,6.32,plain
everyday,TestableIO.System.IO.Abstractions.Wrappers.dll,0x14c,x86,1,0,1,5.83,dotnet
everyday,Testlimit64.exe,0x8664,x64,0,0,1,6.50,plain
everyday,Thonny_5.0.0_User_X64_inno_en-US.exe,0x14c,x86,0,0,2,6.39,plain
everyday,Tools.dll,0x8664,x64,0,0,1,6.44,plain
