stage,config_id,dataset,variant,row_align,crops,tta,lr,weight_decay,batch_size,epochs,patience,warmup_epochs,schedule,grad_clip,label_smoothing,loss,focal_gamma,sampler,amp,monitor,dropout,drop_path,width,depth,heads,mlp_ratio,aug_p,aug_max_shift,threshold,seed,device,folds,cv_macro_f1,cv_balanced_accuracy,cv_accuracy,cv_recall_goodware,cv_recall_ransomware,cv_macro_f1_at_0.5,cv_macro_f1_nested_thr,cv_balanced_accuracy_nested_thr,cv_auc,threshold_used,threshold_refit_all_oof,threshold_nested,cv_n,epochs_mean,seconds_per_epoch,seconds_total,wall_seconds
optim,optim_007,mendeley,head3,False,1,False,0.0003,0.01,32,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7269634688486566,0.7274113852655661,0.7294350842418236,0.7468581687612208,0.7079646017699115,0.7269634688486566,0.7244114039400305,0.7243648813968637,0.7865570534309909,0.5,0.5666,0.582;0.582;0.473,2018,13.666666666666666,1.738950252532959,73.37624454498291,74.6
optim,optim_008,mendeley,head3,False,1,False,0.0003,0.01,64,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6918250088395892,0.6911979075642268,0.7061446977205154,0.8348294434470377,0.547566371681416,0.6918250088395892,0.6578654738931191,0.6573626491476144,0.7795991484088274,0.5,0.5998,0.270;0.270;0.600,2018,15.666666666666666,1.4756627082824707,70.00150561332703,71.2
optim,optim_009,mendeley,head3,False,1,False,0.0003,0.001,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6699493719735741,0.6721026437457301,0.6912784935579782,0.8563734290843806,0.48783185840707965,0.6699493719735741,0.673762084011877,0.6747668451406873,0.7548572274034413,0.5,0.3329,0.250;0.333;0.333,2018,15.0,3.2810146808624268,151.0537428855896,152.3
optim,optim_010,mendeley,head3,False,1,False,0.0003,0.1,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7382525671050261,0.7359402059071194,0.7502477700693756,0.8734290843806104,0.5984513274336283,0.7382525671050261,0.6355486311778091,0.6385474094787182,0.79211036923468,0.5,0.4638,0.725;0.163;0.712,2018,16.333333333333332,3.503600597381592,199.46044182777405,201.0
optim,optim_011,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,onecycle,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7160253675399315,0.7157238524967827,0.7195242814667988,0.7522441651705566,0.6792035398230089,0.7160253675399315,0.6586775113735448,0.6591440793759235,0.793559643157878,0.5,0.4516,0.264;0.274;0.585,2018,13.333333333333334,2.8449654579162598,123.22596836090088,125.7
optim,optim_012,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,plateau,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7372866918952777,0.7375667291590537,0.7398414271555996,0.7594254937163375,0.7157079646017699,0.7372866918952777,0.7411382826843279,0.7391177849096773,0.807185995614941,0.5,0.5611,0.561;0.561;0.571,2018,13.0,2.9559171199798584,120.97065901756287,123.0
optim,optim_013,mendeley,head3,False,1,False,0.0003,0.01,16,150,20,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7372866918952777,0.7375667291590537,0.7398414271555996,0.7594254937163375,0.7157079646017699,0.7372866918952777,0.7411382826843279,0.7391177849096773,0.807185995614941,0.5,0.5611,0.561;0.561;0.571,2018,25.0,3.0703747272491455,247.26175451278687,249.5
optim,optim_014,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_macro_f1,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6714229024247557,0.6786633513925739,0.7041625371655104,0.9236983842010772,0.4336283185840708,0.6714229024247557,0.7058441851615358,0.7048078756295578,0.7526036287952209,0.5,0.1268,0.129;0.121;0.127,2018,21.666666666666668,3.8974361419677734,252.84053349494934,256.0
optim,optim_015,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.0,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7328253258407131,0.7306763476906944,0.7413280475718533,0.8330341113105925,0.6283185840707964,0.7328253258407131,0.7188699650231999,0.7188021321555107,0.8102652682671072,0.5,0.2999,0.271;0.237;0.532,2018,13.0,2.5065438747406006,104.97029662132263,106.3
optim,optim_016,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.3,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6602300071524276,0.6629810060215122,0.682358771060456,0.8491921005385996,0.47676991150442477,0.6602300071524276,0.6456127800945011,0.6468001779444241,0.777372360623441,0.5,0.287,0.287;0.287;0.632,2018,15.0,2.5697686672210693,116.57583713531494,117.9
