cv_rank,track,tokenizer,vocab_size,sampling,budget,ngram,embedding,w2v,pooling,n_features,classifier,clf_params,weighting,cv_macro_f1,cv_balanced_accuracy,cv_roc_auc,cv_macro_f1_bal_threshold,cv_macro_f1_f1_threshold,cv_macro_f1_fold_std,threshold,threshold_rule,oof_threshold_bal_rule,oof_threshold_f1_rule,spec
484,w2v,SW,,head,20000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean_max,300,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""20"", ""min_samples_leaf"": ""2"", ""n_estimators"": ""600""}",none,0.83481,0.828568,0.940864,0.86826,0.86826,0.094801,0.5,default,0.20372213,0.20372213,"RF(class_weight=balanced,max_depth=20,min_samples_leaf=2,n_estimators=600)|w=none"
485,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean,300,SVM-RBF,"{""C"": ""100.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.834703,0.831417,0.881019,0.817348,0.824641,0.025898,0.0,default,-0.07013919,-0.07013919,"SVM-RBF(C=100.0,class_weight=balanced,gamma=scale)|w=none"
486,w2v,SW,,strided,20000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",tfidf_mean,100,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""600""}",none,0.834407,0.828838,0.9358,0.880038,0.867178,0.071984,0.5,default,0.16,0.26666667,"RF(class_weight=balanced,max_depth=None,min_samples_leaf=1,n_estimators=600)|w=none"
487,w2v,SW,,head,5000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean,300,MLP,"{""alpha"": ""0.01"", ""early_stopping"": ""False"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.834273,0.831071,0.891271,0.829283,0.829283,0.067076,0.5,default,0.24574353,0.24574353,"MLP(alpha=0.01,early_stopping=False,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
488,tfidf,SW,,head,5000,1-1,tfidf,,,435,LinearSVC,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.833939,0.828663,0.935893,0.872063,0.872063,0.052256,0.0,default,-0.43151861,-0.43151861,"LinearSVC(C=1.0,class_weight=None)|w=none"
489,tfidf,SW,,strided,20000,1-2,tfidf,,,23004,LogReg,"{""C"": ""1.0"", ""class_weight"": ""None""}",class_arch,0.833584,0.8277,0.929327,0.881723,0.881723,0.046589,0.5,default,0.27843832,0.27843832,"LogReg(C=1.0,class_weight=None)|w=class_arch"
490,w2v,SW,,strided,5000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean_max,100,RF,"{""class_weight"": ""None"", ""max_depth"": ""None"", ""min_samples_leaf"": ""1"", ""n_estimators"": ""1000""}",none,0.833526,0.828317,0.941847,0.912609,0.909521,0.074473,0.5,default,0.314,0.314,"RF(class_weight=None,max_depth=None,min_samples_leaf=1,n_estimators=1000)|w=none"
491,w2v,SW,,strided,5000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean,100,RF,"{""class_weight"": ""balanced"", ""max_depth"": ""20"", ""min_samples_leaf"": ""2"", ""n_estimators"": ""600""}",none,0.833245,0.827903,0.935525,0.883443,0.883443,0.069296,0.5,default,0.30048571,0.30048571,"RF(class_weight=balanced,max_depth=20,min_samples_leaf=2,n_estimators=600)|w=none"
492,w2v,SW,,head,5000,1-1,w2v,"dim=100,window=5,epochs=5,min_count=1",tfidf_mean,100,MLP,"{""alpha"": ""0.01"", ""early_stopping"": ""False"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.833135,0.829379,0.88905,0.839044,0.839044,0.042135,0.5,default,0.1957855,0.1957855,"MLP(alpha=0.01,early_stopping=False,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
493,w2v,SW,,head,20000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean_max,100,MLP,"{""alpha"": ""0.01"", ""early_stopping"": ""False"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.832878,0.829344,0.899879,0.767067,0.779454,0.118219,0.5,default,0.3703115,0.3703115,"MLP(alpha=0.01,early_stopping=False,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
