stage,config_id,dataset,variant,row_align,crops,tta,lr,weight_decay,batch_size,epochs,patience,warmup_epochs,schedule,grad_clip,label_smoothing,loss,focal_gamma,sampler,amp,monitor,dropout,drop_path,width,depth,heads,mlp_ratio,aug_p,aug_max_shift,threshold,seed,device,folds,cv_macro_f1,cv_balanced_accuracy,cv_accuracy,cv_recall_goodware,cv_recall_ransomware,cv_macro_f1_at_0.5,cv_macro_f1_nested_thr,cv_balanced_accuracy_nested_thr,cv_auc,threshold_used,threshold_refit_all_oof,threshold_nested,cv_n,epochs_mean,seconds_per_epoch,seconds_total,wall_seconds
loss,loss_017,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,weighted_ce,2.0,natural,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7832769082617075,0.7804089242977204,0.7892910262766485,0.8661275831087152,0.6946902654867256,0.7832769082617075,0.7808085198869811,0.7785106027717482,0.7884290842735491,0.5,0.5846,0.585;0.370;0.551,2017,17.333333333333332,2.524656891822815,132.10126996040344,133.2
loss,loss_018,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,focal,2.0,natural,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7520500208981142,0.7493266424953684,0.7645017352503718,0.8957771787960467,0.6028761061946902,0.7520500208981142,0.7306052836553089,0.7287030190269462,0.8016104922516678,0.5,0.3069,0.307;0.467;0.305,2017,16.666666666666668,2.4983783960342407,124.7431902885437,126.4
loss,loss_019,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,focal,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7747295035446984,0.771870949916116,0.7813584531482399,0.8634321653189577,0.6803097345132744,0.7747295035446984,0.6762933702102855,0.6766278852499423,0.8113446079717578,0.5,0.4972,0.498;0.525;0.208,2017,14.0,2.4879910945892334,104.82785153388977,105.9
loss,loss_020,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,natural,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7664937780497756,0.7634343518673123,0.7749132374814081,0.8742138364779874,0.6526548672566371,0.7664937780497756,0.7757016368018947,0.774054516613792,0.8207075074143867,0.5,0.1672,0.167;0.370;0.167,2017,18.333333333333332,2.469184160232544,136.38508081436157,137.5
loss,loss_021,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,cell,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6356772954123076,0.6387558738639887,0.6569162121963312,0.8140161725067385,0.46349557522123896,0.6356772954123076,0.5721795689502724,0.5935027709530966,0.71231632993822,0.5,0.2056,0.217;0.102;0.206,2017,14.0,2.470828056335449,104.17254424095154,105.3
decision,decision_022,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,oof_macro_f1,1337,cuda,3,0.6883386660837076,0.6883780979414641,0.6916212196331185,0.7196765498652291,0.6570796460176991,0.752280641751135,0.6883386660837076,0.6883780979414641,0.776635140614937,0.5815,0.5815,0.582;0.352;0.131,2017,17.333333333333332,2.4823663234710693,129.30538654327393,130.4
decision,decision_023,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,oof_bal_acc,1337,cuda,3,0.6904845222240046,0.6903126962924091,0.6941001487357461,0.7268643306379156,0.6537610619469026,0.752280641751135,0.6904845222240046,0.6903126962924091,0.776635140614937,0.5815,0.5815,0.582;0.547;0.131,2017,17.333333333333332,2.3130476474761963,122.35945963859558,123.4
capacity,capacity_024,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.0,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7493464099865642,0.7468364620852515,0.7630143777887952,0.9029649595687331,0.5907079646017699,0.7493464099865642,0.6803612382499138,0.684622701142571,0.7949166726299804,0.5,0.3431,0.343;0.403;0.128,2017,21.333333333333332,2.432765245437622,154.09191751480103,155.2
capacity,capacity_025,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.3,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.741033463938924,0.7389554460956198,0.7555775904809122,0.89937106918239,0.5785398230088495,0.741033463938924,0.6402369283357225,0.6443917022477716,0.75208566896453,0.5,0.2313,0.231;0.231;0.104,2017,18.0,2.1332465410232544,115.15298771858215,116.1
capacity,capacity_026,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.1,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7462863348529417,0.743967114312748,0.7605354486861676,0.903863432165319,0.584070796460177,0.7462863348529417,0.737883618890135,0.7355404551201011,0.7959259634727158,0.5,0.1784,0.174;0.559;0.178,2017,17.0,2.174395799636841,110.40638589859009,111.4
